mcparamset ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.064 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.128 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.192 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.256 
1.000,-151.0E-15,17.71E-12,33.55E-12,48.66E-12,64.01E-12
2.000,-1.079E-12,13.62E-12,26.61E-12,38.99E-12,51.37E-12
3.000,-882.1E-15,15.89E-12,30.66E-12,44.77E-12,58.89E-12
4.000,5.498E-12,20.98E-12,34.62E-12,47.75E-12,60.87E-12
5.000,-3.422E-12,13.58E-12,28.67E-12,43.04E-12,57.37E-12
6.000,-4.013E-12,11.01E-12,24.30E-12,36.72E-12,48.84E-12
7.000,3.251E-12,20.44E-12,35.83E-12,50.66E-12,65.64E-12
8.000,1.806E-12,17.57E-12,31.47E-12,44.67E-12,58.02E-12
9.000,3.183E-12,19.51E-12,33.99E-12,48.05E-12,62.31E-12
10.00,2.186E-12,20.19E-12,36.15E-12,51.47E-12,66.87E-12
11.00,-2.117E-12,14.08E-12,28.40E-12,42.10E-12,55.85E-12
12.00,-3.549E-12,13.09E-12,27.87E-12,41.75E-12,55.62E-12
13.00,-1.142E-12,16.08E-12,31.27E-12,45.83E-12,60.49E-12
14.00,-2.062E-12,13.12E-12,26.54E-12,39.18E-12,51.89E-12
15.00,-262.1E-15,15.76E-12,29.90E-12,43.23E-12,56.72E-12
16.00,2.112E-12,18.41E-12,32.87E-12,46.67E-12,60.74E-12
17.00,-1.883E-12,13.38E-12,26.94E-12,39.53E-12,52.21E-12
18.00,-1.017E-12,16.01E-12,31.36E-12,45.62E-12,60.01E-12
19.00,-1.825E-12,15.86E-12,31.65E-12,46.62E-12,61.57E-12
20.00,2.273E-12,19.24E-12,34.42E-12,48.63E-12,63.10E-12
21.00,-683.5E-15,16.35E-12,31.68E-12,46.17E-12,60.62E-12
22.00,805.9E-15,16.79E-12,30.84E-12,44.39E-12,58.05E-12
23.00,-903.1E-15,14.16E-12,27.39E-12,39.91E-12,52.56E-12
24.00,123.6E-15,19.19E-12,36.29E-12,52.59E-12,69.18E-12
25.00,1.100E-12,16.30E-12,29.59E-12,42.51E-12,55.51E-12
26.00,-367.6E-15,16.27E-12,31.08E-12,45.19E-12,59.29E-12
27.00,-1.835E-12,13.89E-12,27.75E-12,40.88E-12,53.97E-12
28.00,-2.994E-12,14.24E-12,29.73E-12,44.22E-12,59.01E-12
