Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
1,C3,1,,877.3e-3
2,C3,2,,876.3e-3
3,C3,3,,877.1e-3
4,C3,4,,877.1e-3
5,C3,5,,877.5e-3
6,C3,6,,877.3e-3
7,C3,7,,876.8e-3
8,C3,8,,877.4e-3
9,C3,9,,877e-3
10,C3,10,,876.7e-3
11,C3,11,,877.2e-3
12,C3,12,,877.5e-3
13,C3,13,,876.9e-3
14,C3,14,,877.1e-3
15,C3,15,,877.6e-3
16,C3,16,,877.2e-3
17,C3,17,,876.7e-3
18,C3,18,,877e-3
19,C3,19,,877.5e-3
20,C3,20,,877.4e-3
21,C3,21,,877.2e-3
22,C3,22,,877e-3
23,C3,23,,877.4e-3
24,C3,24,,877.2e-3
25,C3,25,,877.4e-3
26,C3,26,,877.2e-3
27,C3,27,,876.9e-3
28,C3,28,,876.5e-3
29,C3,29,,877.4e-3
30,C3,30,,877.4e-3
31,C3,31,,876.9e-3
32,C3,32,,877.3e-3
33,C3,33,,876.9e-3
34,C3,34,,877.3e-3
35,C3,35,,877.5e-3
36,C3,36,,877.6e-3
37,C3,37,,877.1e-3
38,C3,38,,876.6e-3
39,C3,39,,877.3e-3
40,C3,40,,876.9e-3
41,C3,41,,877.3e-3
42,C3,42,,877.3e-3
43,C3,43,,876.3e-3
44,C3,44,,876.8e-3
45,C3,45,,877.3e-3
46,C3,46,,877.5e-3
47,C3,47,,877.2e-3
48,C3,48,,876.7e-3
49,C3,49,,877.2e-3
50,C3,50,,877.5e-3
51,C3,51,,877.2e-3
52,C3,52,,877.2e-3
53,C3,53,,876.1e-3
54,C3,54,,877.4e-3
55,C3,55,,876.9e-3
56,C3,56,,877.7e-3
57,C3,57,,877.1e-3
58,C3,58,,876.8e-3
59,C3,59,,877.4e-3
60,C3,60,,877.2e-3
61,C3,61,,876.6e-3
62,C3,62,,877.1e-3
63,C3,63,,877.5e-3
64,C3,64,,877.1e-3
65,C3,65,,877.6e-3
66,C3,66,,877.3e-3
67,C3,67,,876.7e-3
68,C3,68,,876.6e-3
69,C3,69,,877.2e-3
70,C3,70,,877.4e-3
71,C3,71,,877e-3
72,C3,72,,877.2e-3
73,C3,73,,876.8e-3
74,C3,74,,877.3e-3
75,C3,75,,877.4e-3
76,C3,76,,875.6e-3
77,C3,77,,877.2e-3
78,C3,78,,876.9e-3
79,C3,79,,877.4e-3
80,C3,80,,877.5e-3
81,C3,81,,876.9e-3
82,C3,82,,876.2e-3
83,C3,83,,877.2e-3
84,C3,84,,877.3e-3
85,C3,85,,876.8e-3
86,C3,86,,877.2e-3
87,C3,87,,877.6e-3
88,C3,88,,876.9e-3
89,C3,89,,877.4e-3
90,C3,90,,877.6e-3
91,C3,91,,877e-3
92,C3,92,,877.1e-3
93,C3,93,,877.5e-3
94,C3,94,,877.3e-3
95,C3,95,,876.5e-3
96,C3,96,,877.5e-3
97,C3,97,,877.1e-3
98,C3,98,,876.6e-3
99,C3,99,,877.3e-3
100,C3,100,,877.4e-3
101,C3,101,,876.4e-3
102,C3,102,,876.9e-3
103,C3,103,,877.5e-3
104,C3,104,,876.7e-3
105,C3,105,,877.3e-3
106,C3,106,,877.5e-3
107,C3,107,,877e-3
108,C3,108,,877.2e-3
109,C3,109,,877.4e-3
110,C3,110,,877.4e-3
111,C3,111,,877e-3
112,C3,112,,877.1e-3
113,C3,113,,877.4e-3
114,C3,114,,877.2e-3
115,C3,115,,876.5e-3
116,C3,116,,876.8e-3
117,C3,117,,877.5e-3
118,C3,118,,877.6e-3
119,C3,119,,877.1e-3
120,C3,120,,877.5e-3
121,C3,121,,877e-3
122,C3,122,,877.1e-3
123,C3,123,,876.2e-3
124,C3,124,,877.5e-3
125,C3,125,,877.1e-3
126,C3,126,,876.8e-3
127,C3,127,,877.3e-3
128,C3,128,,876.5e-3
129,C3,129,,877.3e-3
130,C3,130,,877.5e-3
131,C3,131,,877e-3
132,C3,132,,877.2e-3
133,C3,133,,877.6e-3
134,C3,134,,877.4e-3
135,C3,135,,876.7e-3
136,C3,136,,876.1e-3
137,C3,137,,877.2e-3
138,C3,138,,877.1e-3
139,C3,139,,877.4e-3
140,C3,140,,877.3e-3
141,C3,141,,876.7e-3
142,C3,142,,877e-3
143,C3,143,,877.5e-3
144,C3,144,,877.4e-3
145,C3,145,,876.8e-3
146,C3,146,,877e-3
147,C3,147,,877.7e-3
148,C3,148,,877.3e-3
149,C3,149,,877e-3
150,C3,150,,876.3e-3
151,C3,151,,877.2e-3
152,C3,152,,877.1e-3
153,C3,153,,877.5e-3
154,C3,154,,877.3e-3
155,C3,155,,876.8e-3
156,C3,156,,876.9e-3
157,C3,157,,877.4e-3
158,C3,158,,877.4e-3
159,C3,159,,877.1e-3
160,C3,160,,877.2e-3
161,C3,161,,876.4e-3
162,C3,162,,877.1e-3
163,C3,163,,877.4e-3
164,C3,164,,877.6e-3
165,C3,165,,877e-3
166,C3,166,,876.7e-3
167,C3,167,,877.3e-3
168,C3,168,,877.1e-3
169,C3,169,,877.7e-3
170,C3,170,,877.4e-3
171,C3,171,,876.8e-3
172,C3,172,,876.7e-3
173,C3,173,,877.2e-3
174,C3,174,,877.4e-3
175,C3,175,,876.9e-3
176,C3,176,,876.9e-3
177,C3,177,,877.3e-3
178,C3,178,,877.5e-3
179,C3,179,,877.2e-3
180,C3,180,,877e-3
181,C3,181,,877.5e-3
182,C3,182,,877.2e-3
183,C3,183,,876.4e-3
184,C3,184,,877.5e-3
185,C3,185,,877e-3
186,C3,186,,876.6e-3
187,C3,187,,877.3e-3
188,C3,188,,877.4e-3
189,C3,189,,876.9e-3
190,C3,190,,877.3e-3
191,C3,191,,875.9e-3
192,C3,192,,877.1e-3
193,C3,193,,877.6e-3
194,C3,194,,877.3e-3
195,C3,195,,876.7e-3
196,C3,196,,876.9e-3
197,C3,197,,877.3e-3
198,C3,198,,877.5e-3
199,C3,199,,877.2e-3
200,C3,200,,877.2e-3
201,C3,201,,876.8e-3
202,C3,202,,877.2e-3
203,C3,203,,877.5e-3
204,C3,204,,877.6e-3
205,C3,205,,877e-3
206,C3,206,,876.5e-3
207,C3,207,,877.2e-3
208,C3,208,,877.7e-3
209,C3,209,,877.1e-3
210,C3,210,,876.8e-3
211,C3,211,,877.4e-3
212,C3,212,,877.2e-3
213,C3,213,,876.6e-3
214,C3,214,,877.1e-3
215,C3,215,,877.5e-3
216,C3,216,,876.3e-3
217,C3,217,,877.1e-3
218,C3,218,,877.4e-3
219,C3,219,,877e-3
220,C3,220,,877.1e-3
221,C3,221,,877.3e-3
222,C3,222,,877.4e-3
223,C3,223,,876.8e-3
224,C3,224,,877.5e-3
225,C3,225,,877.1e-3
226,C3,226,,876.7e-3
227,C3,227,,877.3e-3
228,C3,228,,877.2e-3
229,C3,229,,876.9e-3
230,C3,230,,877.1e-3
231,C3,231,,877.6e-3
232,C3,232,,876.8e-3
233,C3,233,,877.5e-3
234,C3,234,,877.6e-3
235,C3,235,,877e-3
236,C3,236,,877e-3
237,C3,237,,877.3e-3
238,C3,238,,877.2e-3
239,C3,239,,876.5e-3
240,C3,240,,877.2e-3
241,C3,241,,876e-3
242,C3,242,,877.3e-3
243,C3,243,,877.1e-3
244,C3,244,,876.8e-3
245,C3,245,,877.2e-3
246,C3,246,,877.5e-3
247,C3,247,,877.1e-3
248,C3,248,,877.4e-3
249,C3,249,,876.6e-3
250,C3,250,,877e-3
251,C3,251,,877.5e-3
252,C3,252,,877.4e-3
253,C3,253,,877.2e-3
254,C3,254,,876.9e-3
255,C3,255,,877.3e-3
256,C3,256,,877.5e-3
257,C3,257,,877.3e-3
258,C3,258,,876.9e-3
259,C3,259,,877.3e-3
260,C3,260,,877.3e-3
261,C3,261,,876.6e-3
262,C3,262,,877e-3
263,C3,263,,877.6e-3
264,C3,264,,876.4e-3
265,C3,265,,877.3e-3
266,C3,266,,877.5e-3
267,C3,267,,877e-3
268,C3,268,,877.3e-3
269,C3,269,,877.5e-3
270,C3,270,,877.2e-3
271,C3,271,,876.8e-3
272,C3,272,,877.2e-3
273,C3,273,,877.5e-3
274,C3,274,,877.2e-3
275,C3,275,,876.8e-3
276,C3,276,,876.9e-3
277,C3,277,,877.4e-3
278,C3,278,,876.1e-3
279,C3,279,,877.2e-3
280,C3,280,,877.4e-3
281,C3,281,,876.8e-3
282,C3,282,,877.2e-3
283,C3,283,,877.4e-3
284,C3,284,,877.4e-3
285,C3,285,,877.1e-3
286,C3,286,,876.6e-3
287,C3,287,,877.2e-3
288,C3,288,,877.2e-3
289,C3,289,,877.5e-3
290,C3,290,,877.5e-3
291,C3,291,,876.9e-3
292,C3,292,,876.7e-3
293,C3,293,,877.3e-3
294,C3,294,,877.4e-3
295,C3,295,,877.1e-3
296,C3,296,,877.2e-3
297,C3,297,,876.5e-3
298,C3,298,,877.1e-3
299,C3,299,,877.3e-3
300,C3,300,,877.6e-3
301,C3,301,,877e-3
302,C3,302,,876.8e-3
303,C3,303,,877.4e-3
304,C3,304,,877.5e-3
305,C3,305,,877e-3
306,C3,306,,876.6e-3
307,C3,307,,877.1e-3
308,C3,308,,877.4e-3
309,C3,309,,876.9e-3
310,C3,310,,877.2e-3
311,C3,311,,877.5e-3
312,C3,312,,876.8e-3
