Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
1,C1,1,,439.9e-3
2,C1,2,,438.8e-3
3,C1,3,,438.9e-3
4,C1,4,,439.9e-3
5,C1,5,,440.5e-3
6,C1,6,,439.1e-3
7,C1,7,,438.9e-3
8,C1,8,,440.6e-3
9,C1,9,,439.4e-3
10,C1,10,,438.2e-3
11,C1,11,,439e-3
12,C1,12,,441.1e-3
13,C1,13,,439.5e-3
14,C1,14,,438.9e-3
15,C1,15,,440.9e-3
16,C1,16,,440.2e-3
17,C1,17,,439e-3
18,C1,18,,438.9e-3
19,C1,19,,439e-3
20,C1,20,,440.9e-3
21,C1,21,,439.4e-3
22,C1,22,,438.8e-3
23,C1,23,,440.3e-3
24,C1,24,,440.1e-3
25,C1,25,,439.9e-3
26,C1,26,,438.5e-3
27,C1,27,,439e-3
28,C1,28,,438.9e-3
29,C1,29,,440e-3
30,C1,30,,439.1e-3
31,C1,31,,437.9e-3
32,C1,32,,439e-3
33,C1,33,,439.8e-3
34,C1,34,,439.1e-3
35,C1,35,,440.2e-3
36,C1,36,,440.9e-3
37,C1,37,,439e-3
38,C1,38,,438.9e-3
39,C1,39,,438.7e-3
40,C1,40,,438.9e-3
41,C1,41,,440.1e-3
42,C1,42,,439.1e-3
43,C1,43,,437.9e-3
44,C1,44,,438.6e-3
45,C1,45,,439.2e-3
46,C1,46,,440.4e-3
47,C1,47,,439.3e-3
48,C1,48,,438.6e-3
49,C1,49,,439.3e-3
50,C1,50,,439.4e-3
51,C1,51,,440.1e-3
52,C1,52,,440.1e-3
53,C1,53,,437.7e-3
54,C1,54,,439.8e-3
55,C1,55,,439.4e-3
56,C1,56,,440.8e-3
57,C1,57,,439.5e-3
58,C1,58,,437.4e-3
59,C1,59,,439.8e-3
60,C1,60,,440.1e-3
61,C1,61,,438.2e-3
62,C1,62,,437.7e-3
63,C1,63,,441e-3
64,C1,64,,438.7e-3
65,C1,65,,440.6e-3
66,C1,66,,439.5e-3
67,C1,67,,438.7e-3
68,C1,68,,438.3e-3
69,C1,69,,439.7e-3
70,C1,70,,439.6e-3
71,C1,71,,438.7e-3
72,C1,72,,439.5e-3
73,C1,73,,438.9e-3
74,C1,74,,439.7e-3
75,C1,75,,439.6e-3
76,C1,76,,436.7e-3
77,C1,77,,439.9e-3
78,C1,78,,439.9e-3
79,C1,79,,440.4e-3
80,C1,80,,440.3e-3
81,C1,81,,438.7e-3
82,C1,82,,438.5e-3
83,C1,83,,439e-3
84,C1,84,,440.3e-3
85,C1,85,,438.8e-3
86,C1,86,,438e-3
87,C1,87,,440.8e-3
88,C1,88,,438.2e-3
89,C1,89,,439.9e-3
90,C1,90,,440.9e-3
91,C1,91,,438.9e-3
92,C1,92,,439.5e-3
93,C1,93,,440.2e-3
94,C1,94,,439.8e-3
95,C1,95,,437.2e-3
96,C1,96,,439.9e-3
97,C1,97,,439.7e-3
98,C1,98,,438.1e-3
99,C1,99,,439e-3
100,C1,100,,440.5e-3
101,C1,101,,438.7e-3
102,C1,102,,439e-3
103,C1,103,,439.6e-3
104,C1,104,,439e-3
105,C1,105,,439.6e-3
106,C1,106,,439.5e-3
107,C1,107,,438.9e-3
108,C1,108,,439.3e-3
109,C1,109,,439.9e-3
110,C1,110,,441.3e-3
111,C1,111,,438.9e-3
112,C1,112,,439.1e-3
113,C1,113,,439.8e-3
114,C1,114,,439.6e-3
115,C1,115,,438.5e-3
116,C1,116,,438e-3
117,C1,117,,440.4e-3
118,C1,118,,441e-3
119,C1,119,,438.9e-3
120,C1,120,,439.7e-3
121,C1,121,,439.8e-3
122,C1,122,,439.4e-3
123,C1,123,,437.7e-3
124,C1,124,,440.6e-3
125,C1,125,,438.8e-3
126,C1,126,,439.3e-3
127,C1,127,,439.1e-3
128,C1,128,,438.3e-3
129,C1,129,,439e-3
130,C1,130,,439.8e-3
131,C1,131,,439.1e-3
132,C1,132,,439.5e-3
133,C1,133,,440.7e-3
134,C1,134,,440.3e-3
135,C1,135,,439.5e-3
136,C1,136,,438.7e-3
137,C1,137,,438.7e-3
138,C1,138,,438.8e-3
139,C1,139,,439.7e-3
140,C1,140,,439.8e-3
141,C1,141,,438e-3
142,C1,142,,440e-3
143,C1,143,,439.6e-3
144,C1,144,,439.2e-3
145,C1,145,,438.9e-3
146,C1,146,,438.6e-3
147,C1,147,,440.8e-3
148,C1,148,,439.6e-3
149,C1,149,,438e-3
150,C1,150,,438.6e-3
151,C1,151,,439.2e-3
152,C1,152,,439.4e-3
153,C1,153,,440.3e-3
154,C1,154,,440.3e-3
155,C1,155,,437.3e-3
156,C1,156,,438.1e-3
157,C1,157,,440.2e-3
158,C1,158,,440.4e-3
159,C1,159,,439.8e-3
160,C1,160,,439.1e-3
161,C1,161,,438.5e-3
162,C1,162,,439.1e-3
163,C1,163,,439.3e-3
164,C1,164,,440.8e-3
165,C1,165,,438.7e-3
166,C1,166,,438e-3
167,C1,167,,440.1e-3
168,C1,168,,438.3e-3
169,C1,169,,440.8e-3
170,C1,170,,439.6e-3
171,C1,171,,438.7e-3
172,C1,172,,438.4e-3
173,C1,173,,440.9e-3
174,C1,174,,439.6e-3
175,C1,175,,440e-3
176,C1,176,,438.4e-3
177,C1,177,,439.8e-3
178,C1,178,,440e-3
179,C1,179,,439.6e-3
180,C1,180,,439.6e-3
181,C1,181,,439.6e-3
182,C1,182,,439.7e-3
183,C1,183,,439.2e-3
184,C1,184,,438.6e-3
185,C1,185,,439.9e-3
186,C1,186,,438.9e-3
187,C1,187,,439.6e-3
188,C1,188,,440.6e-3
189,C1,189,,438.3e-3
190,C1,190,,439.9e-3
191,C1,191,,437.9e-3
192,C1,192,,438.4e-3
193,C1,193,,439.7e-3
194,C1,194,,439.4e-3
195,C1,195,,437.8e-3
196,C1,196,,438.3e-3
197,C1,197,,440.6e-3
198,C1,198,,442.1e-3
199,C1,199,,438.8e-3
200,C1,200,,438.7e-3
201,C1,201,,440.2e-3
202,C1,202,,439.6e-3
203,C1,203,,439.8e-3
204,C1,204,,440.4e-3
205,C1,205,,439.8e-3
206,C1,206,,439.1e-3
207,C1,207,,439.1e-3
208,C1,208,,440.6e-3
209,C1,209,,439.1e-3
210,C1,210,,439.4e-3
211,C1,211,,438.7e-3
212,C1,212,,438.8e-3
213,C1,213,,438.7e-3
214,C1,214,,439.1e-3
215,C1,215,,439.9e-3
216,C1,216,,437.8e-3
217,C1,217,,439.7e-3
218,C1,218,,440.3e-3
219,C1,219,,439.5e-3
220,C1,220,,439.7e-3
221,C1,221,,439.8e-3
222,C1,222,,440.2e-3
223,C1,223,,438.7e-3
224,C1,224,,441.5e-3
225,C1,225,,438.1e-3
226,C1,226,,437.8e-3
227,C1,227,,439.4e-3
228,C1,228,,439.4e-3
229,C1,229,,439.7e-3
230,C1,230,,438.9e-3
231,C1,231,,440.3e-3
232,C1,232,,438.4e-3
233,C1,233,,440.2e-3
234,C1,234,,440.9e-3
235,C1,235,,438.6e-3
236,C1,236,,439.5e-3
237,C1,237,,439.4e-3
238,C1,238,,439.9e-3
239,C1,239,,439.1e-3
240,C1,240,,439.8e-3
241,C1,241,,436.9e-3
242,C1,242,,440.3e-3
243,C1,243,,438.9e-3
244,C1,244,,439e-3
245,C1,245,,440.7e-3
246,C1,246,,439.8e-3
247,C1,247,,439e-3
248,C1,248,,439.2e-3
249,C1,249,,438.9e-3
250,C1,250,,437.5e-3
251,C1,251,,440.2e-3
252,C1,252,,440.4e-3
253,C1,253,,439.6e-3
254,C1,254,,438.7e-3
255,C1,255,,440.3e-3
256,C1,256,,439.5e-3
257,C1,257,,440e-3
258,C1,258,,439e-3
259,C1,259,,440.3e-3
260,C1,260,,440e-3
261,C1,261,,439.3e-3
262,C1,262,,437.3e-3
263,C1,263,,439.6e-3
264,C1,264,,438.9e-3
265,C1,265,,438.9e-3
266,C1,266,,440.1e-3
267,C1,267,,438.8e-3
268,C1,268,,440.4e-3
269,C1,269,,439.8e-3
270,C1,270,,439.5e-3
271,C1,271,,438.8e-3
272,C1,272,,439.7e-3
273,C1,273,,439.8e-3
274,C1,274,,441e-3
275,C1,275,,438.4e-3
276,C1,276,,438.9e-3
277,C1,277,,439.7e-3
278,C1,278,,438.1e-3
279,C1,279,,439e-3
280,C1,280,,440.2e-3
281,C1,281,,437.8e-3
282,C1,282,,439.5e-3
283,C1,283,,440.1e-3
284,C1,284,,440.4e-3
285,C1,285,,439.3e-3
286,C1,286,,438.1e-3
287,C1,287,,440.1e-3
288,C1,288,,439.3e-3
289,C1,289,,441e-3
290,C1,290,,439.6e-3
291,C1,291,,438.8e-3
292,C1,292,,437.1e-3
293,C1,293,,440.8e-3
294,C1,294,,440e-3
295,C1,295,,439.4e-3
296,C1,296,,439.5e-3
297,C1,297,,439.1e-3
298,C1,298,,439e-3
299,C1,299,,439.6e-3
300,C1,300,,441.3e-3
301,C1,301,,438.2e-3
302,C1,302,,438.4e-3
303,C1,303,,439.1e-3
304,C1,304,,439.8e-3
305,C1,305,,439.8e-3
306,C1,306,,438.1e-3
307,C1,307,,439.6e-3
308,C1,308,,439.9e-3
309,C1,309,,438.7e-3
310,C1,310,,439.1e-3
311,C1,311,,440.4e-3
312,C1,312,,438.6e-3
313,C1,313,,439.3e-3
314,C1,314,,439.8e-3
315,C1,315,,440.4e-3
316,C1,316,,438.7e-3
317,C1,317,,439.6e-3
318,C1,318,,439.4e-3
319,C1,319,,437.3e-3
320,C1,320,,439.7e-3
321,C1,321,,438.7e-3
322,C1,322,,440.2e-3
323,C1,323,,440e-3
324,C1,324,,439.6e-3
325,C1,325,,438.6e-3
326,C1,326,,438.3e-3
327,C1,327,,439.9e-3
328,C1,328,,438.6e-3
329,C1,329,,441.3e-3
330,C1,330,,440.6e-3
331,C1,331,,437.9e-3
332,C1,332,,437.9e-3
333,C1,333,,439.9e-3
334,C1,334,,440.5e-3
335,C1,335,,440.4e-3
336,C1,336,,438.7e-3
337,C1,337,,438.8e-3
338,C1,338,,440.4e-3
339,C1,339,,439e-3
340,C1,340,,440.1e-3
341,C1,341,,439.6e-3
342,C1,342,,440.3e-3
343,C1,343,,437.8e-3
344,C1,344,,437.9e-3
345,C1,345,,440.8e-3
346,C1,346,,439.1e-3
347,C1,347,,438.7e-3
348,C1,348,,439.7e-3
349,C1,349,,438.5e-3
350,C1,350,,438.8e-3
351,C1,351,,438.8e-3
352,C1,352,,438.6e-3
353,C1,353,,440.2e-3
354,C1,354,,441.5e-3
355,C1,355,,437.6e-3
356,C1,356,,439.2e-3
357,C1,357,,439.3e-3
358,C1,358,,440.3e-3
359,C1,359,,438.3e-3
360,C1,360,,439.8e-3
361,C1,361,,439e-3
362,C1,362,,439.5e-3
363,C1,363,,439.7e-3
