Point,Corner,a,b,c,d,e,f,g,h,Pass/Fail,"value(VT(""/VO"") 1e-08)"
1,nom,0,0,0,0,0,0,0,0,,841.8e-3
2,nom,0,0,0,0,0,0,0,900e-3,,837.7e-3
3,nom,0,0,0,0,0,0,900e-3,0,,834.9e-3
4,nom,0,0,0,0,0,0,900e-3,900e-3,,830.8e-3
5,nom,0,0,0,0,0,900e-3,0,0,,828.5e-3
6,nom,0,0,0,0,0,900e-3,0,900e-3,,824.4e-3
7,nom,0,0,0,0,0,900e-3,900e-3,0,,821.2e-3
8,nom,0,0,0,0,0,900e-3,900e-3,900e-3,,817.3e-3
9,nom,0,0,0,0,900e-3,0,0,0,,815.7e-3
10,nom,0,0,0,0,900e-3,0,0,900e-3,,811.7e-3
11,nom,0,0,0,0,900e-3,0,900e-3,0,,808.5e-3
12,nom,0,0,0,0,900e-3,0,900e-3,900e-3,,804.5e-3
13,nom,0,0,0,0,900e-3,900e-3,0,0,,802.1e-3
14,nom,0,0,0,0,900e-3,900e-3,0,900e-3,,798.1e-3
15,nom,0,0,0,0,900e-3,900e-3,900e-3,0,,794.9e-3
16,nom,0,0,0,0,900e-3,900e-3,900e-3,900e-3,,791.2e-3
17,nom,0,0,0,900e-3,0,0,0,0,,790.2e-3
18,nom,0,0,0,900e-3,0,0,0,900e-3,,786.1e-3
19,nom,0,0,0,900e-3,0,0,900e-3,0,,782.9e-3
20,nom,0,0,0,900e-3,0,0,900e-3,900e-3,,779e-3
21,nom,0,0,0,900e-3,0,900e-3,0,0,,776.5e-3
22,nom,0,0,0,900e-3,0,900e-3,0,900e-3,,772.6e-3
23,nom,0,0,0,900e-3,0,900e-3,900e-3,0,,769.4e-3
24,nom,0,0,0,900e-3,0,900e-3,900e-3,900e-3,,765.6e-3
25,nom,0,0,0,900e-3,900e-3,0,0,0,,763.7e-3
26,nom,0,0,0,900e-3,900e-3,0,0,900e-3,,759.8e-3
27,nom,0,0,0,900e-3,900e-3,0,900e-3,0,,756.6e-3
28,nom,0,0,0,900e-3,900e-3,0,900e-3,900e-3,,752.8e-3
29,nom,0,0,0,900e-3,900e-3,900e-3,0,0,,750e-3
30,nom,0,0,0,900e-3,900e-3,900e-3,0,900e-3,,746.4e-3
31,nom,0,0,0,900e-3,900e-3,900e-3,900e-3,0,,743e-3
32,nom,0,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,,739.2e-3
33,nom,0,0,900e-3,0,0,0,0,0,,738.6e-3
34,nom,0,0,900e-3,0,0,0,0,900e-3,,734.7e-3
35,nom,0,0,900e-3,0,0,0,900e-3,0,,731.7e-3
36,nom,0,0,900e-3,0,0,0,900e-3,900e-3,,727.4e-3
37,nom,0,0,900e-3,0,0,900e-3,0,0,,725.3e-3
38,nom,0,0,900e-3,0,0,900e-3,0,900e-3,,720.9e-3
39,nom,0,0,900e-3,0,0,900e-3,900e-3,0,,717.6e-3
