Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
1,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",813e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
2,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",809.1e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
3,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",806e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
4,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",801.9e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
5,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",799.8e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
6,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",796.1e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
7,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",793e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
8,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",788.7e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
9,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",787.3e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
10,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",783.7e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
11,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",780.5e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
12,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",776.3e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
13,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",774.3e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
14,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",770.5e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
15,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",767.3e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
16,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",763.4e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=0, h=0",,,,,,
17,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",762.5e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=0, h=900m",,,,,,
18,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",758.8e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=900m, h=0",,,,,,
19,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",755.6e-3,,,
