Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
1,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",841.8e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
2,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",837.7e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
3,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",834.9e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
4,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",830.8e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
5,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",828.5e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
6,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",824.4e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
7,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",821.2e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
8,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",817.3e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
9,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",815.7e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
10,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",811.7e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
11,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",808.5e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
12,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",804.5e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
13,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",802.1e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
