Point,Corner,IN,Pass/Fail,"value(VT(""/VO"") 1e-08)"
1,nom,0,,11e-3
2,nom,3.439e-3,,14.25e-3
3,nom,6.878e-3,,17.22e-3
4,nom,10.32e-3,,20.44e-3
5,nom,13.76e-3,,23.66e-3
6,nom,17.2e-3,,26.86e-3
7,nom,20.64e-3,,29.98e-3
8,nom,24.07e-3,,33.16e-3
9,nom,27.51e-3,,36.33e-3
10,nom,30.95e-3,,39.49e-3
11,nom,34.39e-3,,42.57e-3
12,nom,37.83e-3,,45.71e-3
13,nom,41.27e-3,,48.84e-3
14,nom,44.71e-3,,51.97e-3
15,nom,48.15e-3,,55.08e-3
16,nom,51.59e-3,,58.19e-3
17,nom,55.03e-3,,61.3e-3
18,nom,58.47e-3,,64.39e-3
19,nom,61.91e-3,,67.48e-3
20,nom,65.35e-3,,70.56e-3
21,nom,68.78e-3,,73.64e-3
22,nom,72.22e-3,,76.72e-3
23,nom,75.66e-3,,79.79e-3
24,nom,79.1e-3,,82.87e-3
25,nom,82.54e-3,,86.07e-3
26,nom,85.98e-3,,89.13e-3
27,nom,89.42e-3,,92.18e-3
28,nom,92.86e-3,,95.22e-3
29,nom,96.3e-3,,98.3e-3
30,nom,99.74e-3,,101.3e-3
31,nom,103.2e-3,,104.4e-3
32,nom,106.6e-3,,107.5e-3
33,nom,110.1e-3,,111.6e-3
34,nom,113.5e-3,,114.6e-3
35,nom,116.9e-3,,117.6e-3
36,nom,120.4e-3,,120.5e-3
37,nom,123.8e-3,,123.6e-3
38,nom,127.3e-3,,126.6e-3
39,nom,130.7e-3,,129.6e-3
40,nom,134.1e-3,,132.6e-3
41,nom,137.6e-3,,135.6e-3
42,nom,141e-3,,138.6e-3
43,nom,144.4e-3,,141.6e-3
44,nom,147.9e-3,,144.6e-3
45,nom,151.3e-3,,147.6e-3
46,nom,154.8e-3,,150.7e-3
47,nom,158.2e-3,,153.8e-3
48,nom,161.6e-3,,156.9e-3
49,nom,165.1e-3,,159.9e-3
50,nom,168.5e-3,,163e-3
51,nom,172e-3,,166e-3
52,nom,175.4e-3,,169.1e-3
53,nom,178.8e-3,,172.2e-3
54,nom,182.3e-3,,175.2e-3
55,nom,185.7e-3,,178.1e-3
56,nom,189.2e-3,,181.1e-3
57,nom,192.6e-3,,184.1e-3
58,nom,196e-3,,187.1e-3
59,nom,199.5e-3,,190.1e-3
60,nom,202.9e-3,,193.2e-3
61,nom,206.4e-3,,196.2e-3
62,nom,209.8e-3,,199.2e-3
63,nom,213.2e-3,,202.2e-3
64,nom,216.7e-3,,205.2e-3
65,nom,220.1e-3,,208.2e-3
66,nom,223.5e-3,,211.2e-3
67,nom,227e-3,,214.3e-3
68,nom,230.4e-3,,217.2e-3
69,nom,233.9e-3,,220.2e-3
70,nom,237.3e-3,,223.2e-3
71,nom,240.7e-3,,226.2e-3
72,nom,244.2e-3,,229.3e-3
73,nom,247.6e-3,,232.3e-3
74,nom,251.1e-3,,235.3e-3
75,nom,254.5e-3,,238.3e-3
76,nom,257.9e-3,,241.3e-3
77,nom,261.4e-3,,244.2e-3
78,nom,264.8e-3,,247.2e-3
79,nom,268.3e-3,,250.2e-3
80,nom,271.7e-3,,253.1e-3
81,nom,275.1e-3,,256e-3
82,nom,278.6e-3,,259e-3
83,nom,282e-3,,261.8e-3
84,nom,285.5e-3,,264.8e-3
85,nom,288.9e-3,,267.8e-3
86,nom,292.3e-3,,270.8e-3
