Point,Corner,IN,Pass/Fail,"value(VT(""/VO"") 2e-08)"
1,nom,0,,72.87e-3
2,nom,3.439e-3,,76.6e-3
3,nom,6.878e-3,,80.33e-3
4,nom,10.32e-3,,83.92e-3
5,nom,13.76e-3,,87.51e-3
6,nom,17.2e-3,,91.03e-3
7,nom,20.64e-3,,94.5e-3
8,nom,24.07e-3,,97.92e-3
9,nom,27.51e-3,,101.2e-3
10,nom,30.95e-3,,104.6e-3
11,nom,34.39e-3,,107.9e-3
12,nom,37.83e-3,,111.2e-3
13,nom,41.27e-3,,114.4e-3
14,nom,44.71e-3,,117.6e-3
15,nom,48.15e-3,,121.3e-3
16,nom,51.59e-3,,124.4e-3
17,nom,55.03e-3,,127.6e-3
18,nom,58.47e-3,,130.7e-3
19,nom,61.91e-3,,133.9e-3
20,nom,65.35e-3,,137e-3
21,nom,68.78e-3,,140.1e-3
22,nom,72.22e-3,,143.1e-3
23,nom,75.66e-3,,146.2e-3
24,nom,79.1e-3,,149.3e-3
25,nom,82.54e-3,,152.3e-3
26,nom,85.98e-3,,155.7e-3
27,nom,89.42e-3,,158.8e-3
28,nom,92.86e-3,,161.8e-3
29,nom,96.3e-3,,164.8e-3
30,nom,99.74e-3,,167.8e-3
31,nom,103.2e-3,,170.1e-3
32,nom,106.6e-3,,173.1e-3
33,nom,110.1e-3,,177e-3
34,nom,113.5e-3,,180e-3
35,nom,116.9e-3,,183.1e-3
36,nom,120.4e-3,,186.1e-3
37,nom,123.8e-3,,189.1e-3
38,nom,127.3e-3,,192.1e-3
39,nom,130.7e-3,,195.7e-3
40,nom,134.1e-3,,198.8e-3
41,nom,137.6e-3,,201.8e-3
42,nom,141e-3,,204.8e-3
43,nom,144.4e-3,,207.8e-3
44,nom,147.9e-3,,210.9e-3
45,nom,151.3e-3,,213.9e-3
46,nom,154.8e-3,,217e-3
47,nom,158.2e-3,,220.2e-3
48,nom,161.6e-3,,223.2e-3
49,nom,165.1e-3,,226.2e-3
50,nom,168.5e-3,,229.1e-3
51,nom,172e-3,,232.1e-3
52,nom,175.4e-3,,235.2e-3
53,nom,178.8e-3,,238.2e-3
54,nom,182.3e-3,,241.2e-3
55,nom,185.7e-3,,244.3e-3
56,nom,189.2e-3,,247.3e-3
57,nom,192.6e-3,,250.6e-3
58,nom,196e-3,,253.6e-3
59,nom,199.5e-3,,256.1e-3
60,nom,202.9e-3,,259.3e-3
61,nom,206.4e-3,,262.4e-3
62,nom,209.8e-3,,265.3e-3
63,nom,213.2e-3,,268.4e-3
64,nom,216.7e-3,,271.4e-3
65,nom,220.1e-3,,274.4e-3
66,nom,223.5e-3,,277.4e-3
67,nom,227e-3,,280.5e-3
68,nom,230.4e-3,,283.5e-3
69,nom,233.9e-3,,286.5e-3
70,nom,237.3e-3,,289.5e-3
71,nom,240.7e-3,,292.6e-3
72,nom,244.2e-3,,295.7e-3
73,nom,247.6e-3,,298.7e-3
74,nom,251.1e-3,,301.7e-3
75,nom,254.5e-3,,304.7e-3
76,nom,257.9e-3,,307.7e-3
77,nom,261.4e-3,,310.6e-3
78,nom,264.8e-3,,313.6e-3
79,nom,268.3e-3,,316.6e-3
80,nom,271.7e-3,,319.7e-3
81,nom,275.1e-3,,322.8e-3
82,nom,278.6e-3,,325.9e-3
83,nom,282e-3,,328.9e-3
84,nom,285.5e-3,,331.9e-3
85,nom,288.9e-3,,334.4e-3
86,nom,292.3e-3,,337.5e-3
87,nom,295.8e-3,,340.5e-3
88,nom,299.2e-3,,343.5e-3
89,nom,302.7e-3,,346.3e-3
90,nom,306.1e-3,,349.3e-3
91,nom,309.5e-3,,352.3e-3
92,nom,313e-3,,355.2e-3
93,nom,316.4e-3,,358.2e-3
94,nom,319.8e-3,,361.2e-3
95,nom,323.3e-3,,364.2e-3
96,nom,326.7e-3,,367e-3
97,nom,330.2e-3,,369.9e-3
98,nom,333.6e-3,,372.9e-3
99,nom,337e-3,,375.9e-3
100,nom,340.5e-3,,378.8e-3
101,nom,343.9e-3,,381.8e-3
102,nom,347.4e-3,,384.7e-3
103,nom,350.8e-3,,387.7e-3
104,nom,354.2e-3,,390.6e-3
105,nom,357.7e-3,,393.6e-3
106,nom,361.1e-3,,396.5e-3
107,nom,364.6e-3,,399.5e-3
108,nom,368e-3,,402.4e-3
109,nom,371.4e-3,,405.4e-3
110,nom,374.9e-3,,408.3e-3
111,nom,378.3e-3,,411.2e-3
112,nom,381.8e-3,,414.2e-3
113,nom,385.2e-3,,417.1e-3
114,nom,388.6e-3,,420e-3
115,nom,392.1e-3,,423e-3
116,nom,395.5e-3,,425.9e-3
117,nom,398.9e-3,,428.8e-3
118,nom,402.4e-3,,431.8e-3
119,nom,405.8e-3,,434.7e-3
120,nom,409.3e-3,,437.6e-3
121,nom,412.7e-3,,440.6e-3
122,nom,416.1e-3,,443.5e-3
123,nom,419.6e-3,,446.5e-3
124,nom,423e-3,,449.4e-3
125,nom,426.5e-3,,452.3e-3
126,nom,429.9e-3,,455.3e-3
127,nom,433.3e-3,,458.2e-3
128,nom,436.8e-3,,461.2e-3
129,nom,440.2e-3,,464.1e-3
130,nom,443.7e-3,,466.6e-3
131,nom,447.1e-3,,469.6e-3
132,nom,450.5e-3,,472.5e-3
133,nom,454e-3,,475.5e-3
134,nom,457.4e-3,,478.5e-3
135,nom,460.9e-3,,482.2e-3
136,nom,464.3e-3,,485.2e-3
137,nom,467.7e-3,,488.2e-3
138,nom,471.2e-3,,491.2e-3
139,nom,474.6e-3,,494.2e-3
140,nom,478.1e-3,,497.2e-3
141,nom,481.5e-3,,500.2e-3
