Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
34,C1,34,,473.1e-3
189,C1,189,,472.3e-3
60,C1,60,,472.1e-3
45,C1,45,,472e-3
29,C1,29,,472e-3
5,C1,5,,472e-3
141,C1,141,,471.9e-3
93,C1,93,,471.8e-3
13,C1,13,,471.8e-3
162,C1,162,,471.5e-3
31,C1,31,,471.4e-3
10,C1,10,,471.4e-3
170,C1,170,,471.3e-3
157,C1,157,,471.3e-3
90,C1,90,,471.2e-3
114,C1,114,,471.1e-3
165,C1,165,,471.1e-3
173,C1,173,,471.1e-3
98,C1,98,,471e-3
85,C1,85,,470.8e-3
133,C1,133,,470.8e-3
63,C1,63,,470.5e-3
197,C1,197,,470.3e-3
195,C1,195,,470.3e-3
111,C1,111,,470.3e-3
149,C1,149,,470.3e-3
77,C1,77,,470.2e-3
175,C1,175,,470.2e-3
39,C1,39,,470.2e-3
108,C1,108,,470.2e-3
159,C1,159,,470.2e-3
160,C1,160,,470.1e-3
50,C1,50,,470.1e-3
136,C1,136,,470e-3
120,C1,120,,470e-3
37,C1,37,,469.9e-3
191,C1,191,,469.9e-3
95,C1,95,,469.8e-3
117,C1,117,,469.8e-3
40,C1,40,,469.7e-3
99,C1,99,,469.7e-3
56,C1,56,,469.6e-3
18,C1,18,,469.6e-3
82,C1,82,,469.5e-3
16,C1,16,,469.4e-3
51,C1,51,,469.4e-3
109,C1,109,,469.4e-3
155,C1,155,,469.4e-3
33,C1,33,,469.4e-3
15,C1,15,,469.4e-3
71,C1,71,,469.3e-3
180,C1,180,,469.2e-3
76,C1,76,,469.2e-3
74,C1,74,,469.2e-3
183,C1,183,,469.1e-3
200,C1,200,,469e-3
127,C1,127,,469e-3
79,C1,79,,469e-3
42,C1,42,,469e-3
64,C1,64,,469e-3
53,C1,53,,468.9e-3
178,C1,178,,468.9e-3
147,C1,147,,468.9e-3
152,C1,152,,468.9e-3
75,C1,75,,468.9e-3
68,C1,68,,468.9e-3
101,C1,101,,468.9e-3
179,C1,179,,468.8e-3
135,C1,135,,468.8e-3
192,C1,192,,468.8e-3
21,C1,21,,468.8e-3
87,C1,87,,468.7e-3
48,C1,48,,468.7e-3
58,C1,58,,468.7e-3
104,C1,104,,468.7e-3
154,C1,154,,468.7e-3
59,C1,59,,468.6e-3
26,C1,26,,468.6e-3
69,C1,69,,468.6e-3
27,C1,27,,468.6e-3
186,C1,186,,468.6e-3
19,C1,19,,468.5e-3
181,C1,181,,468.5e-3
3,C1,3,,468.5e-3
1,C1,1,,468.5e-3
122,C1,122,,468.4e-3
128,C1,128,,468.4e-3
187,C1,187,,468.3e-3
23,C1,23,,468.3e-3
43,C1,43,,468.3e-3
65,C1,65,,468.3e-3
7,C1,7,,468.2e-3
151,C1,151,,468.2e-3
167,C1,167,,468.2e-3
67,C1,67,,468.2e-3
24,C1,24,,468.1e-3
138,C1,138,,468.1e-3
119,C1,119,,468.1e-3
176,C1,176,,468.1e-3
143,C1,143,,468.1e-3
129,C1,129,,468.1e-3
131,C1,131,,468e-3
96,C1,96,,468e-3
144,C1,144,,468e-3
113,C1,113,,468e-3
146,C1,146,,468e-3
83,C1,83,,467.9e-3
196,C1,196,,467.8e-3
32,C1,32,,467.7e-3
199,C1,199,,467.6e-3
55,C1,55,,467.5e-3
123,C1,123,,467.5e-3
198,C1,198,,467.4e-3
163,C1,163,,467.3e-3
139,C1,139,,467.3e-3
72,C1,72,,467.2e-3
103,C1,103,,467.2e-3
134,C1,134,,467.2e-3
47,C1,47,,467.1e-3
8,C1,8,,467.1e-3
112,C1,112,,467e-3
30,C1,30,,467e-3
115,C1,115,,466.9e-3
35,C1,35,,466.9e-3
148,C1,148,,466.8e-3
91,C1,91,,466.7e-3
106,C1,106,,466.7e-3
100,C1,100,,466.6e-3
28,C1,28,,466.6e-3
9,C1,9,,466.6e-3
44,C1,44,,466.6e-3
168,C1,168,,466.6e-3
80,C1,80,,466.6e-3
124,C1,124,,466.5e-3
164,C1,164,,466.5e-3
17,C1,17,,466.4e-3
89,C1,89,,466.4e-3
107,C1,107,,466.2e-3
177,C1,177,,466.2e-3
188,C1,188,,466.2e-3
49,C1,49,,466.1e-3
38,C1,38,,466e-3
11,C1,11,,466e-3
