Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
1,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",2.03e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
2,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",6.154e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
3,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",9.319e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
4,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",13.53e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
5,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",15.71e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
6,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",19.97e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
7,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",23.22e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
8,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",27.52e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
9,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",28.67e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
10,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",33e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
11,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",36.29e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
12,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",40.65e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
13,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",42.9e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
14,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",47.27e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
